tenor,discount_factor,rc,rann,fwd_c,fwd_ann
105,0.0337269771958647,0.0322805452533164,0.032807213826473,0.0324438425575007,0.0329758822314061
106,0.0326495428869787,0.0322823058844954,0.0328090322206562,0.0324441138319285,0.0329761624513854
107,0.0316065279892014,0.0322840336241834,0.0328108166473529,0.0324443788916893,0.0329764362518361
108,0.0305968329576389,0.0322857293842266,0.032812568048153,0.0324446379464297,0.0329767038493134
109,0.0296193933718527,0.0322873940431954,0.0328142873302884,0.0324448911966026,0.0329769654508754
110,0.0286731788139627,0.0322890284478776,0.0328159753681749,0.0324451388339541,0.0329772212545869
111,0.0277571917825678,0.0322906334146931,0.0328176330048722,0.032445381041981,0.032977471449992
112,0.0268704666413395,0.0322922097310344,0.0328192610534679,0.0324456179963608,0.0329777162185569
113,0.0260120686011864,0.0322937581565376,0.0328208602983899,0.0324458498653558,0.0329779557340897
114,0.0251810927349183,0.0322952794242876,0.0328224314966514,0.0324460768101928,0.0329781901631301
115,0.0243766630233732,0.032296774241962,0.0328239753790305,0.0324462989854207,0.0329784196653204
116,0.0235979314320055,0.032298243292917,0.0328254926511922,0.032446516539247,0.0329786443937525
117,0.0228440770169625,0.0322996872372181,0.0328269839947533,0.0324467296138542,0.0329788644952949
118,0.0221143050597095,0.0323011067126198,0.0328284500682916,0.0324469383456988,0.0329790801109011
119,0.0214078462292916,0.0323025023354963,0.0328298915083098,0.0324471428657919,0.0329792913759004
120,0.0207239557713514,0.0323038747017263,0.0328313089301471,0.0324473432999649,0.0329794984202711
121,0.0200619127230487,0.0323052243875351,0.0328327029288482,0.0324475397691197,0.0329797013688999
122,0.019421019153054,0.0323065519502953,0.0328340740799922,0.0324477323894643,0.0329799003418252
123,0.0188005994258181,0.0323078579292886,0.0328354229404775,0.0324479212727363,0.0329800954544672
124,0.01819999948934,0.0323091428464325,0.0328367500492717,0.0324481065264131,0.0329802868178457
125,0.0176185861856855,0.0323104072069707,0.0328380559281265,0.0324482882539111,0.0329804745387858
126,0.017055746583528,0.0323116515001324,0.0328393410822563,0.0324484665547738,0.0329806587201118
127,0.01651088733201,0.0323128761997602,0.0328406060009874,0.0324486415248494,0.0329808394608315
128,0.0159834340352436,0.0323140817649086,0.0328418511583763,0.0324488132564596,0.0329810168563098
129,0.0154728306467911,0.0323152686404155,0.0328430770137995,0.0324489818385591,0.032981190998433
130,0.0149785388834879,0.0323164372574468,0.0328442840125152,0.0324491473568856,0.0329813619757653
131,0.0145000376579902,0.0323175880340169,0.0328454725862017,0.032449309894104,0.0329815298736962
132,0.0140368225294483,0.0323187213754853,0.0328466431534695,0.0324494695299411,0.0329816947745805
133,0.0135884051717287,0.0323198376750314,0.0328477961203519,0.0324496263413143,0.0329818567578712
134,0.0131543128586224,0.0323209373141072,0.0328489318807725,0.0324497804024535,0.0329820159002452
